Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Donomulyo,2022,MOW,173,
Pagak,2022,MOW,159,
Bantur,2022,MOW,142,
Sumbermanjing Wetan,2022,MOW,504,
Dampit,2022,MOW,552,
Ampelgading,2022,MOW,237,
Poncokusumo,2022,MOW,474,
Wajak,2022,MOW,536,
Turen,2022,MOW,717,
Gondanglegi,2022,MOW,389,
Kalipare,2022,MOW,216,
Sumberpucung,2022,MOW,343,
Kepanjen,2022,MOW,687,
Bululawang,2022,MOW,407,
Tajinan,2022,MOW,325,
Tumpang,2022,MOW,469,
Jabung,2022,MOW,370,
Pakis,2022,MOW,1.000,
Pakisaji,2022,MOW,650,
Ngajum,2022,MOW,336,
Wagir,2022,MOW,467,
Dau,2022,MOW,436,
Karangploso,2022,MOW,598,
Singosari,2022,MOW,981,
Lawang,2022,MOW,638,
Pujon,2022,MOW,316,
Ngantang,2022,MOW,356,
Kasembon,2022,MOW,184,
Gedangan,2022,MOW,168,
Tirtoyudo,2022,MOW,569,
Kromengan,2022,MOW,222,
Wonosari,2022,MOW,193,
Pagelaran,2022,MOW,358,
Donomulyo,2022,Kondom,38,
Pagak,2022,Kondom,28,
Bantur,2022,Kondom,25,
Sumbermanjing Wetan,2022,Kondom,92,
Dampit,2022,Kondom,105,
Ampelgading,2022,Kondom,21,
Poncokusumo,2022,Kondom,112,
Wajak,2022,Kondom,75,
Turen,2022,Kondom,171,
Gondanglegi,2022,Kondom,70,
Kalipare,2022,Kondom,47,
Sumberpucung,2022,Kondom,133,
Kepanjen,2022,Kondom,314,
Bululawang,2022,Kondom,140,
Tajinan,2022,Kondom,67,
Tumpang,2022,Kondom,95,
Jabung,2022,Kondom,61,
Pakis,2022,Kondom,481,
Pakisaji,2022,Kondom,294,
Ngajum,2022,Kondom,77,
Wagir,2022,Kondom,118,
Dau,2022,Kondom,142,
Karangploso,2022,Kondom,268,
Singosari,2022,Kondom,508,
Lawang,2022,Kondom,251,
Pujon,2022,Kondom,34,
Ngantang,2022,Kondom,62,
Kasembon,2022,Kondom,28,
Gedangan,2022,Kondom,21,
Tirtoyudo,2022,Kondom,71,
Kromengan,2022,Kondom,121,
Wonosari,2022,Kondom,54,
Pagelaran,2022,Kondom,80,
Donomulyo,2022,Implan,1.045,
Pagak,2022,Implan,407,
Bantur,2022,Implan,501,
Sumbermanjing Wetan,2022,Implan,1.007,
Dampit,2022,Implan,872,
Ampelgading,2022,Implan,586,
Poncokusumo,2022,Implan,1.024,
Wajak,2022,Implan,1.371,
Turen,2022,Implan,1.264,
Gondanglegi,2022,Implan,496,
Kalipare,2022,Implan,418,
Sumberpucung,2022,Implan,380,
Kepanjen,2022,Implan,641,
Bululawang,2022,Implan,430,
Tajinan,2022,Implan,675,
Tumpang,2022,Implan,483,
Jabung,2022,Implan,861,
Pakis,2022,Implan,799,
Pakisaji,2022,Implan,915,
Ngajum,2022,Implan,1.041,
Wagir,2022,Implan,789,
Dau,2022,Implan,297,
Karangploso,2022,Implan,353,
Singosari,2022,Implan,566,
Lawang,2022,Implan,455,
Pujon,2022,Implan,2.085,
Ngantang,2022,Implan,681,
Kasembon,2022,Implan,391,
Gedangan,2022,Implan,721,
Tirtoyudo,2022,Implan,761,
Kromengan,2022,Implan,483,
Wonosari,2022,Implan,681,
Pagelaran,2022,Implan,610,
Donomulyo,2022,Suntikan,3.721,
Pagak,2022,Suntikan,3.809,
Bantur,2022,Suntikan,4.180,
Sumbermanjing Wetan,2022,Suntikan,7.150,
Dampit,2022,Suntikan,8.810,
Ampelgading,2022,Suntikan,3.766,
Poncokusumo,2022,Suntikan,8.319,
Wajak,2022,Suntikan,6.672,
Turen,2022,Suntikan,6.567,
Gondanglegi,2022,Suntikan,5.060,
Kalipare,2022,Suntikan,3.733,
Sumberpucung,2022,Suntikan,1.892,
Kepanjen,2022,Suntikan,4.439,
Bululawang,2022,Suntikan,4.270,
Tajinan,2022,Suntikan,4.404,
Tumpang,2022,Suntikan,6.260,
Jabung,2022,Suntikan,6.935,
Pakis,2022,Suntikan,8.977,
Pakisaji,2022,Suntikan,4.978,
Ngajum,2022,Suntikan,3.601,
Wagir,2022,Suntikan,6.869,
Dau,2022,Suntikan,4.611,
Karangploso,2022,Suntikan,5.612,
Singosari,2022,Suntikan,12.204,
Lawang,2022,Suntikan,6.441,
Pujon,2022,Suntikan,5.817,
Ngantang,2022,Suntikan,3.772,
Kasembon,2022,Suntikan,1.828,
Gedangan,2022,Suntikan,4.312,
Tirtoyudo,2022,Suntikan,4.740,
Kromengan,2022,Suntikan,1.961,
Wonosari,2022,Suntikan,2.080,
