No,ID Kecamatan,Kecamatan,Tahun,Jenjang,Jumlah Penduduk Usia Sekolah,Jumlah Siswa Usia Sekolah,Total Siswa,APK (%),APM (%),Jumlah Guru S1/D4,Total Guru,Persentase Guru S1,Jumlah Sekolah Terakreditasi,Jumlah Sekolah,Persentase Sekolah Terakreditasi
174,9,Turen,2020,SD,10843,12070,12077,111.38,111.32,390,415,93.98,50,50,100
175,10,Gondanglegi,2020,SD,9111,9003,9111,100,98.81,184,195,94.36,26,27,96.3
176,11,Kalipare,2020,SD,5479,5558,5563,101.53,101.44,291,307,94.79,42,42,100
177,12,Sumberpucung,2020,SD,8706,5144,8706,100,59.09,267,286,93.36,32,32,100
178,13,Kepanjen,2020,SD,10509,11289,11302,107.54,107.42,420,452,92.92,50,50,100
179,14,Bululawang,2020,SD,7581,7338,7581,100,96.79,216,227,95.15,22,23,95.65
180,15,Tajinan,2020,SD,5228,5091,5228,100,97.38,174,187,93.05,21,21,100
181,16,Tumpang,2020,SD,6742,7627,7630,113.17,113.13,245,267,91.76,34,34,100
182,17,Jabung,2020,SD,7363,7586,7588,103.06,103.03,259,274,94.53,34,34,100
183,18,Pakis,2020,SD,17264,11757,17264,100,68.1,319,336,94.94,35,35,100
184,19,Pakisaji,2020,SD,9071,8232,9071,100,90.75,274,292,93.84,32,32,100
185,20,Ngajum,2020,SD,4709,4768,4768,101.25,101.25,254,269,94.42,30,30,100
186,21,Wagir,2020,SD,8887,6497,8887,100,73.11,291,315,92.38,34,34,100
187,22,Dau,2020,SD,7027,4964,7027,100,70.64,183,194,94.33,26,26,100
188,23,Karangploso,2020,SD,8538,6676,8538,100,78.19,233,243,95.88,22,22,100
189,24,Singosari,2020,SD,18603,17032,18603,100,91.56,477,523,91.2,54,54,100
190,25,Lawang,2020,SD,11190,11336,11347,101.4,101.3,414,435,95.17,49,49,100
191,26,Pujon,2020,SD,7109,6669,7109,100,93.81,223,242,92.15,30,30,100
192,27,Ngantang,2020,SD,5284,5157,5284,100,97.6,268,289,92.73,35,35,100
193,28,Kasembon,2020,SD,3190,2831,3190,100,88.75,162,170,95.29,19,19,100
194,29,Gedangan,2020,SD,4998,5391,5393,107.9,107.86,180,183,98.36,34,34,100
195,30,Tirtoyudo,2020,SD,6157,6199,6206,100.8,100.68,295,320,92.19,36,36,100
196,31,Kromengan,2020,SD,3359,3221,3359,100,95.89,210,223,94.17,22,22,100
197,32,Wonosari,2020,SD,3869,4190,4192,108.35,108.3,242,263,92.02,31,31,100
198,33,Pagelaran,2020,SD,6939,6656,6939,100,95.92,212,218,97.25,19,19,100
199,1,Donomulyo,2021,SD,5644,5644,6481,114.83,117.52,299,314,95.22,45,45,100
200,2,Pagak,2021,SD,4720,4720,5902,125.04,163.14,214,226,94.69,30,30,100
201,3,Bantur,2021,SD,7052,7052,7108,100.79,99.9,303,327,92.66,35,37,94.59
202,4,Sumbermanjing Wetan,2021,SD,9657,9657,8928,92.45,69.17,381,422,90.28,51,51,100
203,5,Dampit,2021,SD,11128,11128,10836,97.38,93.57,390,414,94.2,50,50,100
204,6,Ampelgading,2021,SD,5369,5369,6386,118.94,89.53,218,239,91.21,30,30,100
205,7,Poncokusumo,2021,SD,8953,8953,6952,77.65,76.67,299,317,94.32,40,41,100
206,8,Wajak,2021,SD,8286,8286,6904,83.32,81.5,256,277,92.42,36,36,100
207,9,Turen,2021,SD,12008,12008,11490,95.69,60.91,427,450,94.89,48,50,96
208,10,Gondanglegi,2021,SD,8840,8840,14210,160.75,92.71,251,268,93.66,26,28,92.86
209,11,Kalipare,2021,SD,5954,5954,7601,127.66,94.78,278,303,91.75,42,42,100
210,12,Sumberpucung,2021,SD,5238,5238,8983,171.5,127.28,264,284,92.96,32,33,96.97
211,13,Kepanjen,2021,SD,2860,2860,13648,477.2,391.82,453,485,93.4,49,50,98
212,14,Bululawang,2021,SD,6914,6914,14673,212.22,135.03,178,191,93.19,22,24,91.67
213,15,Tajinan,2021,SD,5354,5354,6695,125.05,122.94,163,172,94.77,21,21,100
214,16,Tumpang,2021,SD,7308,7308,9432,129.06,103.64,244,273,89.38,34,34,100
215,17,Jabung,2021,SD,7274,7274,6816,93.7,92.8,220,240,91.67,34,34,100
216,18,Pakis,2021,SD,14761,14761,7545,51.11,62.59,298,319,93.42,35,35,100
217,19,Pakisaji,2021,SD,9002,9002,8429,93.63,73.92,267,280,95.36,32,32,100
218,20,Ngajum,2021,SD,5118,5118,7675,149.96,150.55,204,231,88.31,30,30,100
219,21,Wagir,2021,SD,8443,8443,6022,71.33,92.76,283,302,93.71,34,34,100
220,22,Dau,2021,SD,6194,6194,6224,100.48,98.66,232,260,89.23,25,27,92.59
221,23,Karangploso,2021,SD,8006,8006,6507,81.28,69.04,197,210,93.81,22,23,95.65
222,24,Singosari,2021,SD,17426,17426,16823,96.54,81.84,540,574,94.08,54,54,100
223,25,Lawang,2021,SD,10720,10720,11753,109.64,106.05,429,473,90.7,48,49,97.96
224,26,Pujon,2021,SD,6969,6969,6638,95.25,67,241,259,93.05,30,30,100
225,27,Ngantang,2021,SD,5249,5249,6387,121.68,121.13,241,259,93.05,35,35,100
226,28,Kasembon,2021,SD,2861,2861,5857,204.72,159.11,119,131,90.84,19,19,100
227,29,Gedangan,2021,SD,5298,5298,6298,118.88,92.56,265,289,91.7,34,34,100
228,30,Tirtoyudo,2021,SD,6298,6298,7407,117.61,89.31,259,299,86.62,36,36,100
229,31,Kromengan,2021,SD,3726,3726,6766,181.59,183.57,202,214,94.39,22,22,100
230,32,Wonosari,2021,SD,4062,4062,7721,190.08,191.29,219,239,91.63,31,31,100
231,33,Pagelaran,2021,SD,7208,7208,5071,70.35,96.2,197,207,95.17,19,19,100
232,1,Donomulyo,2022,SD,5644,4233,4233,112.74,112.74,297,319,93.1,45,45,100
233,2,Pagak,2022,SD,4720,3700,3700,118.89,118.89,206,218,94.5,30,30,100
234,3,Bantur,2022,SD,7052,4845,4845,104.6,104.6,302,319,94.67,36,37,97.3
235,4,Sumbermanjing Wetan,2022,SD,9657,6480,6480,100.92,100.92,367,426,86.15,51,51,100
236,5,Dampit,2022,SD,11128,8413,8413,103.18,103.18,394,427,92.27,50,50,100
237,6,Ampelgading,2022,SD,5369,4107,4107,116.45,116.45,215,232,92.67,30,30,100
238,7,Poncokusumo,2022,SD,8953,4664,4664,77.71,77.71,287,308,93.18,40,41,97.56
239,8,Wajak,2022,SD,8286,4653,4653,80.99,80.99,256,271,94.46,36,36,100
240,9,Turen,2022,SD,12008,7114,7114,89.86,89.86,408,431,94.66,49,50,98
241,10,Gondanglegi,2022,SD,8840,4196,4196,72.12,72.12,243,268,90.67,27,29,93.1
242,11,Kalipare,2022,SD,5954,3443,3443,87.71,87.71,275,295,93.22,42,42,100
243,12,Sumberpucung,2022,SD,5238,4767,4767,139.4,139.4,243,272,89.34,32,33,100
244,13,Kepanjen,2022,SD,2860,9206,9206,125.71,125.71,448,481,93.14,50,50,100
245,14,Bululawang,2022,SD,6914,3416,3416,73.61,73.61,185,203,91.13,24,26,96
246,15,Tajinan,2022,SD,5354,2582,2582,71.64,71.64,152,160,95,21,21,100
247,16,Tumpang,2022,SD,7308,5274,5274,106.07,106.07,248,286,86.71,34,34,100
248,17,Jabung,2022,SD,7274,4550,4550,92.69,92.69,231,244,94.67,34,34,100
249,18,Pakis,2022,SD,14761,7239,7239,74.23,74.23,281,300,93.67,35,38,97.22
250,19,Pakisaji,2022,SD,9002,6382,6382,107.56,107.56,258,277,93.14,31,33,93.94
251,20,Ngajum,2022,SD,5118,3506,3506,103.14,103.14,213,235,90.64,30,30,100
252,21,Wagir,2022,SD,8443,5732,5732,106.57,106.57,273,292,93.49,34,34,100
253,22,Dau,2022,SD,6194,4031,4031,97.03,97.03,245,265,92.45,27,27,100
254,23,Karangploso,2022,SD,8006,4327,4327,81.48,81.48,200,218,91.74,23,24,100
255,24,Singosari,2022,SD,17426,12262,12262,106.41,106.41,524,571,91.77,54,55,98.19
256,25,Lawang,2022,SD,10720,9369,9369,131.02,131.02,434,489,88.75,49,49,100
257,26,Pujon,2022,SD,6969,4469,4469,96.1,96.1,231,249,92.77,30,30,100
258,27,Ngantang,2022,SD,5249,4158,4158,119.82,119.82,216,232,93.1,35,36,100
259,28,Kasembon,2022,SD,2861,1852,1852,98,98,124,135,91.85,19,19,100
260,29,Gedangan,2022,SD,5298,4064,4064,114.13,114.13,261,283,92.23,34,34,100
261,30,Tirtoyudo,2022,SD,6298,5425,5425,128.16,128.16,249,280,88.93,36,36,100
262,31,Kromengan,2022,SD,3726,2656,2656,109.09,109.09,185,201,92.04,22,22,100
263,32,Wonosari,2022,SD,4062,3570,3570,119.47,119.47,227,239,94.98,31,31,100
264,33,Pagelaran,2022,SD,7208,2934,2934,60.78,60.78,195,208,93.75,19,19,100
265,1,Donomulyo,2023,SD,5644,4057,4242,75.16,112.74,335,357,93.84,45,45,100
266,2,Pagak,2023,SD,4720,3584,3756,79.58,118.89,235,248,94.76,30,30,100
267,3,Bantur,2023,SD,7052,4584,4746,67.3,104.6,326,346,94.22,36,37,97.3
268,4,Sumbermanjing Wetan,2023,SD,9657,4610,6655,68.91,100.92,417,439,94.99,51,51,100
269,5,Dampit,2023,SD,11128,8019,8332,74.87,103.18,431,447,96.42,50,50,100
270,6,Ampelgading,2023,SD,5369,3864,4126,76.85,116.45,244,255,95.69,30,30,100
271,7,Poncokusumo,2023,SD,8953,4654,4865,54.34,77.71,324,343,94.46,40,41,97.56
272,8,Wajak,2023,SD,8286,4517,4632,55.9,80.99,267,281,95.02,36,36,100
273,9,Turen,2023,SD,12008,6796,7068,58.86,89.86,448,467,95.93,50,50,100
274,10,Gondanglegi,2023,SD,8840,4324,4472,50.59,72.12,268,295,90.85,27,31,87.1
