No,Kecamatan,Unit Kerja (Puskesmas),Tanggal,Tahun,Bulan,Pendek,Sangat Pendek,Stunting,Jumlah Yang Diukur,Prevalensi Stunting,Prevalensi Stunting (persen),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Puskesmas Pembantu,Jumlah Klinik,Jumlah Pondak Bersalin Desa (Polindes),Pos Kesehatan
86,Sumbermanjing Wetan,Sitiarjo,01/01/2021,2021,Februari,127,27,154,2128,"7,2","0,072",0,1,2,0,6,6
87,Sumbermanjing Wetan,Sumbermanjing,01/01/2021,2021,Februari,481,121,602,3333,"18,1","0,181",0,1,2,1,12,13
88,Dampit,Dampit,01/01/2021,2021,Februari,241,88,329,3727,"8,8","0,088",0,2,4,3,17,17
89,Dampit,Pamotan,01/01/2021,2021,Februari,291,230,521,2998,"17,4","0,174",0,2,4,3,13,13
90,Tirtoyudo,Tirtoyudo,01/01/2021,2021,Februari,245,84,329,2636,"12,5","0,125",0,1,4,5,17,17
91,Ampelgading,Ampelgading,01/01/2021,2021,Februari,73,20,93,3147,3,"0,03",0,1,2,3,7,7
92,Poncokusumo,Poncokusumo,01/01/2021,2021,Februari,154,24,178,5419,"3,3","0,033",0,1,4,1,7,7
93,Wajak,Wajak,01/01/2021,2021,Februari,176,13,189,4826,"3,9","0,039",1,1,2,1,9,9
94,Turen,Turen,01/01/2021,2021,Februari,893,120,1013,8114,"12,5","0,125",2,1,4,1,7,7
95,Bululawang,Bululawang,01/01/2021,2021,Februari,714,185,899,4962,"18,1","0,181",1,1,5,7,18,18
96,Gondanglegi,Gondanglegi,01/01/2021,2021,Februari,368,96,464,3292,"14,1","0,141",1,2,3,3,14,14
97,Gondanglegi,Ketawang,01/01/2021,2021,Februari,128,20,148,2257,"6,6","0,066",1,2,3,2,12,12
98,Pagelaran,Pagelaran,01/01/2021,2021,Februari,372,6,378,2759,"13,7","0,137",0,1,2,1,0,15
99,Kepanjen,Kepanjen,01/01/2021,2021,Februari,373,87,460,5515,"8,3","0,083",3,1,3,4,15,15
100,Sumberpucung,Sumberpucung,01/01/2021,2021,Februari,263,126,389,1799,"21,6","0,216",0,1,1,9,15,15
101,Kromengan,Kromengan,01/01/2021,2021,Februari,220,15,235,2534,"9,3","0,093",1,1,1,6,12,12
102,Ngajum,Ngajum,01/01/2021,2021,Februari,333,228,561,2122,"26,4","0,264",0,1,2,0,9,9
103,Wonosari,Wonosari,01/01/2021,2021,Februari,143,45,188,2241,"8,4","0,084",0,1,2,1,12,12
104,Wagir,Wagir,01/01/2021,2021,Februari,216,48,264,3581,"7,4","0,074",0,1,3,4,8,10
105,Pakisaji,Pakisaji,01/01/2021,2021,Februari,313,72,385,3103,"12,4","0,124",1,1,2,3,9,9
106,Tajinan,Tajinan,01/01/2021,2021,Februari,548,169,717,3705,"19,4","0,194",0,1,3,7,7,9
107,Tumpang,Tumpang,01/01/2021,2021,Februari,431,124,555,4942,"11,2","0,112",1,1,2,2,6,8
108,Pakis,Pakis,01/01/2021,2021,Februari,607,0,607,7047,"8,6","0,086",1,1,2,5,12,12
109,Jabung,Jabung,01/01/2021,2021,Februari,446,138,584,3381,"17,3","0,173",1,1,2,3,9,10
110,Lawang,Lawang,01/01/2021,2021,Februari,618,43,661,6908,"9,6","0,096",5,1,3,3,13,13
111,Singosari,Singosari,01/01/2021,2021,Februari,205,8,213,5156,"4,1","0,041",3,2,4,0,6,6
112,Singosari,Ardimulyo,01/01/2021,2021,Februari,250,46,296,4687,"6,3","0,063",3,2,4,0,7,8
113,Karangploso,Karangploso,01/01/2021,2021,Februari,236,41,277,5249,"5,3","0,053",0,1,3,0,6,6
114,Dau,Dau,01/01/2021,2021,Februari,150,38,188,2150,"8,7","0,087",1,1,2,4,13,13
115,Pujon,Pujon,01/01/2021,2021,Februari,660,221,881,3451,"25,5","0,255",0,1,1,2,7,7
116,Ngantang,Ngantang,01/01/2021,2021,Februari,371,95,466,3233,"14,4","0,144",0,1,3,2,8,8
117,Kasembon,Kasembon,01/01/2021,2021,Februari,150,13,163,1422,"11,5","0,115",1,1,2,5,10,10
118,Donomulyo,Donomulyo,01/01/2021,2021,Agustus,148,18,166,2352,"9,3","0,093",0,1,4,3,10,10
119,Kalipare,Kalipare,01/01/2021,2021,Agustus,114,23,137,2980,"4,6","0,046",0,1,3,1,2,4
120,Pagak,Pagak,01/01/2021,2021,Agustus,19,0,19,320,"5,9","0,059",0,2,3,2,4,4
121,Pagak,Sumbermanjing Kulon,01/01/2021,2021,Agustus,23,3,26,485,"5,4","0,054",0,2,3,0,5,5
122,Bantur,Bantur,01/01/2021,2021,Agustus,107,21,128,973,"13,2","0,132",0,2,4,1,5,5
123,Bantur,Wonokerto,01/01/2021,2021,Agustus,143,10,153,1392,11,"0,11",0,2,4,1,9,9
124,Gedangan,Gedangan,01/01/2021,2021,Agustus,24,1,25,634,"3,9","0,039",0,2,6,6,6,6
125,Sumbermanjing Wetan,Sitiarjo,01/01/2021,2021,Agustus,61,15,76,1048,"7,3","0,073",0,1,2,0,6,6
126,Sumbermanjing Wetan,Sumbermanjing,01/01/2021,2021,Agustus,461,97,558,2785,20,"0,2",0,1,2,1,12,13
127,Dampit,Dampit,01/01/2021,2021,Agustus,52,15,67,312,"21,5","0,215",0,2,4,3,17,17
128,Dampit,Pamotan,01/01/2021,2021,Agustus,88,61,149,892,"16,7","0,167",0,2,4,3,13,13
129,Tirtoyudo,Tirtoyudo,01/01/2021,2021,Agustus,147,32,179,1704,"10,5","0,105",0,1,4,5,17,17
130,Ampelgading,Ampelgading,01/01/2021,2021,Agustus,73,19,92,2821,"3,3","0,033",0,1,2,3,7,7
131,Poncokusumo,Poncokusumo,01/01/2021,2021,Agustus,127,11,138,4114,"3,4","0,034",0,1,4,1,7,7
132,Wajak,Wajak,01/01/2021,2021,Agustus,211,1,212,5199,"4,1","0,041",1,1,2,1,9,9
133,Turen,Turen,01/01/2021,2021,Agustus,535,74,609,7777,"7,8","0,078",2,1,4,1,7,7
134,Bululawang,Bululawang,01/01/2021,2021,Agustus,904,300,1204,3442,35,"0,35",1,1,5,7,18,18
135,Gondanglegi,Gondanglegi,01/01/2021,2021,Agustus,247,46,293,2972,"9,9","0,099",1,2,3,3,14,14
136,Gondanglegi,Ketawang,01/01/2021,2021,Agustus,15,2,17,386,"4,4","0,044",1,2,3,2,12,12
137,Pagelaran,Pagelaran,01/01/2021,2021,Agustus,96,3,99,889,"11,1","0,111",0,1,2,1,0,15
138,Kepanjen,Kepanjen,01/01/2021,2021,Agustus,90,15,105,4269,"2,5","0,025",3,1,3,4,15,15
139,Sumberpucung,Sumberpucung,01/01/2021,2021,Agustus,11,15,26,250,"10,4","0,104",0,1,1,9,15,15
140,Kromengan,Kromengan,01/01/2021,2021,Agustus,109,17,126,2035,"6,2","0,062",1,1,1,6,12,12
141,Ngajum,Ngajum,01/01/2021,2021,Agustus,219,21,240,1061,"22,6","0,226",0,1,2,0,9,9
142,Wonosari,Wonosari,01/01/2021,2021,Agustus,12,2,14,150,"9,3","0,093",0,1,2,1,12,12
143,Wagir,Wagir,01/01/2021,2021,Agustus,110,36,146,3254,"4,5","0,045",0,1,3,4,8,10
144,Pakisaji,Pakisaji,01/01/2021,2021,Agustus,65,3,68,1119,"6,1","0,061",1,1,2,3,9,9
145,Tajinan,Tajinan,01/01/2021,2021,Agustus,152,71,223,1388,"16,1","0,161",0,1,3,7,7,9
146,Tumpang,Tumpang,01/01/2021,2021,Agustus,821,166,987,5111,"19,3","0,193",1,1,2,2,6,8
147,Pakis,Pakis,01/01/2021,2021,Agustus,87,5,92,2721,"3,4","0,034",1,1,2,5,12,12
148,Jabung,Jabung,01/01/2021,2021,Agustus,111,63,174,732,"23,8","0,238",1,1,2,3,9,10
149,Lawang,Lawang,01/01/2021,2021,Agustus,315,36,351,5669,"6,2","0,062",5,1,3,3,13,13
150,Singosari,Singosari,01/01/2021,2021,Agustus,99,4,103,5441,"1,9","0,019",3,2,4,0,6,6
151,Singosari,Ardimulyo,01/01/2021,2021,Agustus,306,44,350,4330,"8,1","0,081",3,2,4,0,7,8
152,Karangploso,Karangploso,01/01/2021,2021,Agustus,213,47,260,5026,"5,2","0,052",0,1,3,0,6,6
153,Dau,Dau,01/01/2021,2021,Agustus,71,25,96,1115,"8,6","0,086",1,1,2,4,13,13
154,Pujon,Pujon,01/01/2021,2021,Agustus,61,19,80,531,"15,1","0,151",0,1,1,2,7,7
155,Ngantang,Ngantang,01/01/2021,2021,Agustus,33,8,41,248,"16,5","0,165",0,1,3,2,8,8
156,Kasembon,Kasembon,01/01/2021,2021,Agustus,47,6,53,890,6,"0,06",1,1,2,5,10,10
157,Donomulyo,Donomulyo,01/01/2022,2022,Februari,106,23,129,3038,"4,25","0,0425",0,1,4,3,10,10
158,Kalipare,Kalipare,01/01/2022,2022,Februari,156,56,212,2734,"7,75","0,0775",0,1,3,1,2,4
159,Pagak,Pagak,01/01/2022,2022,Februari,36,0,36,1088,"3,31","0,0331",0,2,3,2,4,4
160,Pagak,Sumbermanjing Kulon,01/01/2022,2022,Februari,47,14,61,1044,"5,84","0,0584",0,2,3,0,5,5
161,Bantur,Bantur,01/01/2022,2022,Februari,139,36,175,2081,"8,41","0,0841",0,2,4,1,5,5
162,Bantur,Wonokerto,01/01/2022,2022,Februari,179,18,197,2254,"8,74","0,0874",0,2,4,1,9,9
163,Gedangan,Gedangan,01/01/2022,2022,Februari,31,2,33,2578,"1,28","0,0128",0,2,6,6,6,6
164,Sumbermanjing Wetan,Sitiarjo,01/01/2022,2022,Februari,89,37,126,1390,"9,06","0,0906",0,1,2,0,6,6
165,Sumbermanjing Wetan,Sumbermanjing,01/01/2022,2022,Februari,348,72,420,3304,"12,71","0,1271",0,1,2,1,12,13
166,Dampit,Dampit,01/01/2022,2022,Februari,168,81,249,1397,"17,82","0,1782",0,2,4,3,17,17
167,Dampit,Pamotan,01/01/2022,2022,Februari,239,39,278,3077,"9,03","0,0903",0,2,4,3,13,13
168,Tirtoyudo,Tirtoyudo,01/01/2022,2022,Februari,249,68,317,2722,"11,65","0,1165",0,1,4,5,17,17
169,Ampelgading,Ampelgading,01/01/2022,2022,Februari,48,3,51,3409,"1,5","0,015",0,1,2,3,7,7
170,Poncokusumo,Poncokusumo,01/01/2022,2022,Februari,95,17,112,6211,"1,8","0,018",0,1,4,1,7,7
171,Wajak,Wajak,01/01/2022,2022,Februari,59,0,59,5378,"1,1","0,011",1,1,2,1,9,9
172,Turen,Turen,01/01/2022,2022,Februari,588,126,714,7033,"10,15","0,1015",2,1,4,1,7,7
173,Bululawang,Bululawang,01/01/2022,2022,Februari,398,81,479,2870,"16,69","0,1669",1,1,5,7,18,18
174,Gondanglegi,Gondanglegi,01/01/2022,2022,Februari,193,48,241,3056,"7,89","0,0789",1,2,3,3,14,14
175,Gondanglegi,Ketawang,01/01/2022,2022,Februari,150,9,159,2125,"7,48","0,0748",1,2,3,2,12,12
176,Pagelaran,Pagelaran,01/01/2022,2022,Februari,367,0,367,3102,"11,83","0,1183",0,1,2,1,0,15
177,Kepanjen,Kepanjen,01/01/2022,2022,Februari,137,35,172,5828,"2,95","0,0295",3,1,3,4,15,15
178,Sumberpucung,Sumberpucung,01/01/2022,2022,Februari,326,95,421,2803,"15,02","0,1502",0,1,1,9,15,15
179,Kromengan,Kromengan,01/01/2022,2022,Februari,68,10,78,2510,"3,11","0,0311",1,1,1,6,12,12
180,Ngajum,Ngajum,01/01/2022,2022,Februari,303,76,379,2708,14,"0,14",0,1,2,0,9,9
181,Wonosari,Wonosari,01/01/2022,2022,Februari,81,8,89,1305,"6,82","0,0682",0,1,2,1,12,12
182,Wagir,Wagir,01/01/2022,2022,Februari,172,33,205,3556,"5,76","0,0576",0,1,3,4,8,10
183,Pakisaji,Pakisaji,01/01/2022,2022,Februari,316,80,396,4029,"9,83","0,0983",1,1,2,3,9,9
184,Tajinan,Tajinan,01/01/2022,2022,Februari,487,134,621,3257,"19,07","0,1907",0,1,3,7,7,9
185,Tumpang,Tumpang,01/01/2022,2022,Februari,573,117,690,5213,"13,24","0,1324",1,1,2,2,6,8
186,Pakis,Pakis,01/01/2022,2022,Februari,369,22,391,6982,"5,6","0,056",2,1,2,5,12,12
187,Jabung,Jabung,01/01/2022,2022,Februari,482,277,759,2705,"28,06","0,2806",0,1,2,3,9,10
188,Lawang,Lawang,01/01/2022,2022,Februari,331,28,359,5499,"6,53","0,0653",6,1,3,3,13,13
189,Singosari,Singosari,01/01/2022,2022,Februari,139,19,158,4825,"3,27","0,0327",3,2,4,0,6,6
190,Singosari,Ardimulyo,01/01/2022,2022,Februari,333,39,372,4481,"8,3","0,083",3,2,4,0,7,8
191,Karangploso,Karangploso,01/01/2022,2022,Februari,253,81,334,5089,"6,56","0,0656",0,1,3,0,6,6
192,Dau,Dau,01/01/2022,2022,Februari,162,60,222,2383,"9,32","0,0932",1,1,2,4,13,13
193,Pujon,Pujon,01/01/2022,2022,Februari,679,205,884,3507,"25,21","0,2521",0,1,1,2,7,7
194,Ngantang,Ngantang,01/01/2022,2022,Februari,460,115,575,3160,"18,2","0,182",0,1,3,2,8,8
195,Kasembon,Kasembon,01/01/2022,2022,Februari,98,12,110,1759,"6,25","0,0625",1,1,2,5,10,10
196,Donomulyo,Donomulyo,01/01/2022,2022,Agustus,117,16,133,3779,"3,5","0,035",0,1,4,3,10,10
197,Kalipare,Kalipare,01/01/2022,2022,Agustus,120,26,146,3377,"4,3","0,043",0,1,3,1,2,4
198,Pagak,Pagak,01/01/2022,2022,Agustus,46,0,46,809,"5,7","0,057",0,2,3,2,4,4
199,Pagak,Sumbermanjing Kulon,01/01/2022,2022,Agustus,39,11,50,1083,"4,6","0,046",0,2,3,0,5,5
200,Bantur,Bantur,01/01/2022,2022,Agustus,92,13,105,2082,5,"0,05",0,2,4,1,5,5
201,Bantur,Wonokerto,01/01/2022,2022,Agustus,188,26,214,2479,"8,6","0,086",0,2,4,1,9,9
202,Gedangan,Gedangan,01/01/2022,2022,Agustus,12,1,13,2422,"0,5","0,005",0,2,6,6,6,6
203,Sumbermanjing Wetan,Sitiarjo,01/01/2022,2022,Agustus,112,58,170,1921,"8,8","0,088",0,1,2,0,6,6
204,Sumbermanjing Wetan,Sumbermanjing,01/01/2022,2022,Agustus,471,57,528,3410,"15,5","0,155",0,1,2,1,12,13
205,Dampit,Dampit,01/01/2022,2022,Agustus,149,84,233,3132,"7,4","0,074",0,2,4,3,17,17
206,Dampit,Pamotan,01/01/2022,2022,Agustus,66,27,93,2416,"3,8","0,038",0,2,4,3,13,13
207,Tirtoyudo,Tirtoyudo,01/01/2022,2022,Agustus,235,46,281,3195,"8,8","0,088",0,1,4,5,17,17
208,Ampelgading,Ampelgading,01/01/2022,2022,Agustus,12,1,13,3284,"0,4","0,004",0,1,2,3,7,7
209,Poncokusumo,Poncokusumo,01/01/2022,2022,Agustus,120,16,136,6057,"2,2","0,022",0,1,4,1,7,7
210,Wajak,Wajak,01/01/2022,2022,Agustus,239,1,240,5478,"4,4","0,044",1,1,2,1,9,9
211,Turen,Turen,01/01/2022,2022,Agustus,510,85,595,7285,"8,2","0,082",2,1,4,1,7,7
